Z,RC20,RC40,RC60,RC80,RC100,RC120,A20,A40,A60,A80,A100,A120
4200,-66.66652972,-33.33315724,0,33.75923384,66.66520315,99.99701836,4.14675E-07,2.07337E-07,0,2.09987E-07,4.14666E-07,6.21995E-07
4207.5,-66.66815037,-33.33477496,0,33.31626363,66.67324828,100.0114737,3.80057E-07,1.90033E-07,0,1.89927E-07,3.80086E-07,5.70138E-07
4215,-66.66991604,-33.336537,0,33.34877583,66.68200428,100.0272021,3.43977E-07,1.71997E-07,0,1.7206E-07,3.44039E-07,5.16081E-07
4222.5,-66.67189925,-33.33851555,0,33.3060858,66.69182758,100.0448427,3.06487E-07,1.53255E-07,0,1.53106E-07,3.06578E-07,4.599E-07
4230,-66.67421776,-33.34082788,0,33.30136728,66.70329715,100.065433,2.67694E-07,1.33862E-07,0,1.33704E-07,2.67811E-07,4.01759E-07
4237.5,-66.67708639,-33.3436879,0,33.41206201,66.71746882,100.0908655,2.27501E-07,1.13768E-07,0,1.14001E-07,2.27639E-07,3.41509E-07
4245,-66.68092156,-33.34751026,0,33.37809372,66.7363897,100.1248093,1.85977E-07,9.30083E-08,0,9.30936E-08,1.86132E-07,2.79254E-07
4252.5,-66.68660502,-33.35317302,0,33.32926352,66.76439512,100.1750352,1.43647E-07,7.18449E-08,0,7.17934E-08,1.43815E-07,2.15784E-07
4260,-66.69646297,-33.36299265,0,33.55606721,66.81292232,100.2620439,1.01076E-07,5.05606E-08,0,5.08532E-08,1.01253E-07,1.51944E-07
4267.5,-66.71913696,-33.38557451,0,33.80673521,66.92445889,100.4619916,5.9037E-08,2.95415E-08,0,2.99142E-08,5.92187E-08,8.88946E-08
4275,-66.83934768,-33.50528423,0,33.62164783,67.51554286,101.521494,1.81277E-08,9.08709E-09,0,9.11865E-09,1.83111E-08,2.7534E-08
4282.5,-66.52074015,-33.18801476,0,32.9749873,65.94913232,98.71383696,2.11706E-08,1.05623E-08,0,1.04945E-08,2.09887E-08,3.14162E-08
4290,-66.61440661,-33.28129138,0,32.77518242,66.40970672,99.53940903,5.77968E-08,2.88759E-08,0,2.84368E-08,5.76192E-08,8.63636E-08
4297.5,-66.63478018,-33.30158229,0,33.31030691,66.5099296,99.71907615,9.11721E-08,4.55644E-08,0,4.55764E-08,9.10013E-08,1.36439E-07
4305,-66.64392342,-33.31068995,0,33.21292694,66.5549379,99.79977522,1.21268E-07,6.06136E-08,0,6.04357E-08,1.21106E-07,1.816E-07
4312.5,-66.64919087,-33.31593815,0,33.31472972,66.58089203,99.84632168,1.47582E-07,7.37718E-08,0,7.37691E-08,1.47431E-07,2.21091E-07
4320,-66.65265704,-33.31939275,0,33.29949228,66.59799257,99.8769999,1.69607E-07,8.47861E-08,0,8.47354E-08,1.69468E-07,2.54152E-07
4327.5,-66.65517737,-33.32190563,0,33.38778321,66.61044603,99.89935,1.87491E-07,9.37296E-08,0,9.39149E-08,1.87365E-07,2.81002E-07
