Z,LR20,LR40,LR60,LR80,LR100,LR120
60,0,0,0,0,0,0
67.5,-1.98023E-06,-3.96045E-06,-5.94068E-06,-0.00000792,-9.90113E-06,-1.18814E-05
75,-1.9788E-06,-3.9576E-06,-5.9364E-06,-0.000007912,-9.894E-06,-1.18728E-05
82.5,-1.97738E-06,-3.95475E-06,-5.93213E-06,-0.000007912,-9.88688E-06,-1.18643E-05
90,-1.97595E-06,-3.9519E-06,-5.92785E-06,-0.000007904,-9.87975E-06,-1.18557E-05
97.5,-1.97453E-06,-3.94906E-06,-5.92358E-06,-0.000007896,-9.87264E-06,-1.18472E-05
105,-1.97311E-06,-3.94621E-06,-5.91932E-06,-0.000007896,-9.86553E-06,-1.18386E-05
112.5,-1.97168E-06,-3.94337E-06,-5.91505E-06,-0.000007888,-9.85842E-06,-1.18301E-05
120,-1.97026E-06,-3.94053E-06,-5.91079E-06,-0.00000788,-9.85131E-06,-1.18216E-05
127.5,-1.83667E-06,-3.67727E-06,-5.52154E-06,-0.000007368,-9.22018E-06,-1.10741E-05
135,-1.82781E-06,-3.65978E-06,-5.49562E-06,-0.000007336,-9.17802E-06,-1.10241E-05
142.5,-1.82029E-06,-3.64493E-06,-5.47363E-06,-0.000007304,-9.14221E-06,-1.09816E-05
150,-1.8509E-06,-3.70519E-06,-5.56265E-06,-0.000007424,-9.28633E-06,-1.11522E-05
157.5,-1.88222E-06,-3.76686E-06,-5.65376E-06,-0.000007544,-9.43381E-06,-1.13267E-05
165,-1.88458E-06,-3.77146E-06,-5.66051E-06,-0.000007552,-9.44458E-06,-1.13394E-05
172.5,-1.87792E-06,-3.75832E-06,-5.64103E-06,-0.000007528,-9.41283E-06,-1.13017E-05
180,-1.85231E-06,-3.70782E-06,-5.56633E-06,-0.000007424,-9.29162E-06,-1.11581E-05
187.5,-1.82436E-06,-3.65273E-06,-5.48485E-06,-0.00000732,-9.15944E-06,-1.10015E-05
195,-1.79132E-06,-3.58761E-06,-5.38855E-06,-0.000007192,-9.00327E-06,-1.08165E-05
202.5,-1.74983E-06,-3.50585E-06,-5.26766E-06,-0.000007032,-8.80727E-06,-1.05844E-05
210,-1.70552E-06,-3.41855E-06,-5.13859E-06,-0.000006864,-8.59804E-06,-1.03367E-05
217.5,-1.65268E-06,-3.31444E-06,-4.98469E-06,-0.000006664,-8.34861E-06,-1.00413E-05
225,-1.59652E-06,-3.20379E-06,-4.82113E-06,-0.000006448,-8.08355E-06,-9.72752E-06
232.5,-1.53534E-06,-3.08325E-06,-4.64296E-06,-0.000006216,-7.79487E-06,-9.38576E-06
240,-1.47256E-06,-2.95959E-06,-4.46017E-06,-0.000005976,-7.49872E-06,-9.03518E-06
247.5,-1.40539E-06,-2.82728E-06,-4.26462E-06,-0.00000572,-7.18192E-06,-8.66018E-06
255,-1.33934E-06,-2.69718E-06,-4.07235E-06,-0.000005464,-6.87046E-06,-8.29149E-06
262.5,-1.27045E-06,-2.56149E-06,-3.87181E-06,-0.0000052,-6.54564E-06,-7.90702E-06
270,-1.20185E-06,-2.42637E-06,-3.67212E-06,-0.000004936,-6.2222E-06,-7.52419E-06
277.5,-1.13456E-06,-2.29383E-06,-3.47626E-06,-0.00000468,-5.90499E-06,-7.14874E-06
285,-1.06613E-06,-2.15906E-06,-3.27711E-06,-0.000004416,-5.58246E-06,-6.76701E-06
292.5,-1.00206E-06,-2.03288E-06,-3.09064E-06,-0.000004176,-5.28048E-06,-6.40961E-06
300,-9.36193E-07,-1.90315E-06,-2.89895E-06,-0.00000392,-4.97006E-06,-6.04223E-06
307.5,-8.76352E-07,-1.7853E-06,-2.72479E-06,-0.000003696,-4.68805E-06,-5.70846E-06
315,-8.1629E-07,-1.66701E-06,-2.55E-06,-0.000003464,-4.40501E-06,-5.3735E-06
322.5,-7.62876E-07,-1.56181E-06,-2.39456E-06,-0.000003256,-4.1533E-06,-5.07561E-06
330,-7.10048E-07,-1.45777E-06,-2.24082E-06,-0.000003056,-3.90436E-06,-4.781E-06
337.5,-6.61012E-07,-1.3612E-06,-2.09811E-06,-0.000002872,-3.67328E-06,-4.50753E-06
345,-6.11606E-07,-1.2639E-06,-1.95433E-06,-0.00000268,-3.44047E-06,-4.23202E-06
352.5,-5.6289E-07,-1.16796E-06,-1.81256E-06,-0.000002496,-3.21091E-06,-3.96035E-06
360,-5.14183E-07,-1.07203E-06,-1.67082E-06,-0.000002312,-2.9814E-06,-3.68874E-06
367.5,-4.64337E-07,-9.7386E-07,-1.52576E-06,-0.00000212,-2.74651E-06,-3.41077E-06
375,-4.16101E-07,-8.78861E-07,-1.38538E-06,-0.000001936,-2.51921E-06,-3.14178E-06
382.5,-3.6482E-07,-7.77865E-07,-1.23614E-06,-0.000001736,-2.27757E-06,-2.85582E-06
390,-3.15766E-07,-6.81254E-07,-1.09338E-06,-0.000001552,-2.0464E-06,-2.58225E-06
397.5,-2.63569E-07,-5.78453E-07,-9.41473E-07,-0.000001352,-1.80043E-06,-2.29116E-06
405,-2.13172E-07,-4.79194E-07,-7.94797E-07,-0.00000116,-1.56292E-06,-2.01009E-06
