Z,LR20,LR40,LR60,LR80,LR100,LR120
60,0,0,0,0,0,0
67.5,-0.000159797,-0.000319593,-0.00047939,-0.000639187,-0.000798984,-0.00095878
75,-0.000159682,-0.000319363,-0.000479045,-0.000638727,-0.000798408,-0.00095809
82.5,-0.000159567,-0.000319133,-0.0004787,-0.000638267,-0.000797833,-0.0009574
90,-0.000159452,-0.000318904,-0.000478355,-0.000637807,-0.000797259,-0.000956711
97.5,-0.000159337,-0.000318674,-0.000478011,-0.000637348,-0.000796685,-0.000956021
105,-0.000159222,-0.000318444,-0.000477666,-0.000636889,-0.000796111,-0.000955333
112.5,-0.000159107,-0.000318215,-0.000477322,-0.00063643,-0.000795537,-0.000954644
120,-0.000158993,-0.000317985,-0.000476978,-0.000635971,-0.000794964,-0.000953956
127.5,-0.000156823,-0.000314178,-0.000471621,-0.000629056,-0.000786445,-0.000943774
135,-0.00015457,-0.000310243,-0.000466111,-0.000621974,-0.00077776,-0.000933436
142.5,-0.00015186,-0.000305533,-0.000459543,-0.000613567,-0.00076749,-0.000921258
150,-0.00014882,-0.000300273,-0.000452239,-0.000604255,-0.000756158,-0.000907874
157.5,-0.000145285,-0.00029418,-0.00044381,-0.000593547,-0.000743173,-0.000892588
165,-0.000140349,-0.000285703,-0.000432115,-0.000578725,-0.000725239,-0.000871519
172.5,-0.000134673,-0.000275989,-0.000418759,-0.000561856,-0.000704894,-0.000847696
180,-0.000127021,-0.000262928,-0.000400843,-0.000539272,-0.000677709,-0.000815922
187.5,-0.00011795,-0.000247488,-0.000379721,-0.000512721,-0.000645834,-0.000778765
195,-0.000106524,-0.000228082,-0.00035323,-0.000479488,-0.000606015,-0.000732436
202.5,-9.52099E-05,-0.00020893,-0.000327175,-0.000446916,-0.000567127,-0.000687354
210,-8.15289E-05,-0.000185805,-0.000295763,-0.000407707,-0.000520385,-0.000633244
217.5,-6.64527E-05,-0.000160368,-0.000261277,-0.000364745,-0.000469273,-0.000574194
225,-4.99422E-05,-0.000132548,-0.000223622,-0.000317914,-0.000413651,-0.000510044
232.5,-3.18872E-05,-0.000102155,-0.000182532,-0.000266877,-0.000353112,-0.000440319
240,-1.37511E-05,-7.16545E-05,-0.000141354,-0.00021581,-0.000292641,-0.000370791
247.5,5.42399E-06,-3.94101E-05,-9.78443E-05,-0.00016189,-0.000228841,-0.000297497
255,2.41128E-05,-7.98234E-06,-5.54629E-05,-0.000109415,-0.000166815,-0.000226322
262.5,4.33006E-05,2.43112E-05,-1.19041E-05,-5.54831E-05,-0.000103079,-0.000153203
270,6.10667E-05,5.42474E-05,2.84825E-05,-5.49159E-06,-4.40274E-05,-8.55032E-05
277.5,7.88502E-05,8.42695E-05,6.90283E-05,4.47329E-05,1.53294E-05,-1.74268E-05
285,9.45446E-05,0.000110838,0.000104956,8.92644E-05,6.79711E-05,4.29479E-05
292.5,0.00011001,0.000137099,0.000140538,0.000133435,0.000120252,0.000102974
300,0.000124134,0.000161186,0.00017326,0.000174132,0.000168494,0.00015843
307.5,0.00013694,0.000183138,0.000203182,0.00021144,0.000212807,0.000209456
315,0.000148569,0.000203198,0.000230634,0.000245774,0.000253693,0.000256641
322.5,0.000158223,0.000220009,0.000253779,0.00027485,0.000288441,0.000296863
330,0.000166384,0.000234377,0.0002737,0.00030001,0.00031864,0.00033195
337.5,0.000171663,0.000243936,0.000287173,0.000317227,0.000339495,0.000356361
345,0.00017594,0.000251848,0.000298471,0.0003318,0.000357282,0.000377312
352.5,0.000177058,0.000254438,0.000302583,0.000337472,0.000364543,0.000386183
360,0.00017776,0.000256336,0.000305778,0.000342026,0.000370507,0.000393594
367.5,0.00017613,0.000254274,0.000303596,0.000339891,0.00036853,0.00039186
375,0.00017416,0.000251622,0.000300606,0.000336741,0.000365345,0.000388731
382.5,0.000171087,0.000247071,0.000295013,0.000330332,0.000358267,0.000381096
390,0.000168051,0.000242559,0.000289452,0.000323941,0.000351192,0.000373446
397.5,0.000164572,0.000237266,0.000282804,0.000316168,0.000342449,0.000363846
405,0.0001616,0.000232811,0.000277276,0.000309774,0.000335326,0.000356097
412.5,0.000159335,0.000229548,0.000273356,0.000305375,0.000330567,0.000351069
420,0.000157124,0.000226359,0.000269525,0.000301075,0.000325916,0.000346155
427.5,0.000156043,0.0002251,0.000268324,0.000300062,0.000325184,0.000345775
435,0.000154715,0.000223409,0.000266531,0.000298306,0.000323567,0.000344375
442.5,0.000154053,0.000222859,0.000266297,0.000298507,0.000324291,0.000345694
450,0.000152676,0.000221075,0.000264371,0.000296587,0.000322485,0.000344088
457.5,0.000151922,0.000220357,0.000263906,0.0002965,0.000322874,0.000345033
465,0.000149949,0.000217529,0.00026054,0.000292771,0.000318906,0.000340928
472.5,0.00014865,0.000215855,0.000258751,0.000291015,0.000317296,0.000339555
480,0.000146301,0.000212354,0.000254442,0.000286084,0.000311878,0.000333759
487.5,0.0001442,0.000209267,0.000250688,0.000281839,0.000307269,0.00032889
495,0.000141488,0.000205102,0.000245436,0.000275693,0.000300368,0.000321346
502.5,0.000138759,0.000200889,0.000240097,0.000269419,0.000293294,0.000313582
510,0.000135765,0.000196193,0.000234073,0.000262261,0.000285138,0.000304538
517.5,0.000132403,0.000190835,0.000227113,0.000253899,0.000275513,0.00029376
525,0.000129226,0.000185772,0.000220535,0.000245993,0.000266407,0.000283556
532.5,0.000125438,0.000179622,0.000212428,0.000236131,0.000254924,0.000270556
540,0.000122271,0.000174525,0.000205752,0.000228045,0.000245543,0.000259968
547.5,0.000118804,0.000168882,0.000198295,0.000218948,0.000234918,0.000247903
555,0.000115888,0.000164177,0.00019211,0.000211431,0.000226166,0.00023799
562.5,0.000112602,0.000158805,0.000184982,0.0002027,0.000215928,0.000226317
570,0.000110174,0.000154911,0.000179877,0.000196502,0.000208712,0.00021814
577.5,0.000107434,0.000150454,0.000173977,0.00018928,0.000200244,0.00020848
585,0.000105551,0.000147481,0.000170115,0.000184619,0.000194839,0.000202371
592.5,0.000103598,0.000144373,0.000166054,0.000179693,0.0001891,0.000195859
600,0.000102221,0.000142265,0.000163369,0.000176497,0.000185432,0.000191749
607.5,0.000100915,0.000140273,0.000160837,0.000173485,0.000181979,0.00018788
615,0.000100074,0.000139089,0.000159421,0.000171881,0.000180214,0.000185975
622.5,9.93147E-05,0.000138047,0.000158197,0.000170518,0.000178737,0.000184402
630,9.8356E-05,0.00013665,0.000156477,0.000168524,0.000176496,0.000181935
637.5,9.7861E-05,0.000136064,0.000155881,0.000167949,0.000175963,0.000181458
645,9.71998E-05,0.000135183,0.000154874,0.000166853,0.000174802,0.000180248
652.5,9.70033E-05,0.000135118,0.000155001,0.000167194,0.000175371,0.000181058
660,9.62797E-05,0.000134125,0.000153836,0.000165898,0.00017397,0.00017957
667.5,9.62962E-05,0.000134434,0.000154481,0.000166897,0.000175335,0.000181314
675,9.59593E-05,0.000134121,0.000154264,0.000166805,0.00017539,0.000181531
682.5,9.61147E-05,0.000134676,0.000155257,0.000168251,0.000177303,0.000183924
690,9.5418E-05,0.000133729,0.00015416,0.00016705,0.000176026,0.000182595
697.5,9.50959E-05,0.000133441,0.00015398,0.00016701,0.00017615,0.000182903
705,9.48504E-05,0.000133288,0.000153988,0.000167211,0.000176567,0.000183557
712.5,9.44944E-05,0.000132939,0.000153725,0.000167069,0.000176573,0.000183733
720,9.37541E-05,0.000131908,0.000152511,0.00016572,0.000175122,0.000182208
727.5,9.28819E-05,0.00013064,0.000150962,0.000163943,0.000173153,0.000180075
735,9.22847E-05,0.000129856,0.000150085,0.000163016,0.000172206,0.000179134
742.5,9.1531E-05,0.000128791,0.000148814,0.000161587,0.000170652,0.000177482
750,9.06883E-05,0.000127564,0.000147315,0.000159865,0.00016874,0.00017541
757.5,8.99403E-05,0.000126501,0.000146041,0.000158426,0.000167168,0.00017373
765,8.90531E-05,0.000125187,0.000144412,0.000156533,0.000165044,0.000171403
772.5,8.83409E-05,0.00012418,0.000143209,0.000155177,0.000163565,0.000169826
780,8.77715E-05,0.000123424,0.000142353,0.000154261,0.000162616,0.000168868
787.5,8.68217E-05,0.000121987,0.000140545,0.00015213,0.000160197,0.000166188
795,8.63512E-05,0.0001214,0.00013992,0.000151502,0.00015959,0.000165625
802.5,8.58163E-05,0.000120696,0.000139131,0.000150665,0.00015873,0.000164765
810,8.52081E-05,0.00011986,0.000138154,0.000149586,0.000157578,0.000163563
817.5,8.43765E-05,0.000118621,0.000136613,0.000147788,0.000155552,0.000161336
825,8.36277E-05,0.000117527,0.000135269,0.000146236,0.000153821,0.00015945
832.5,8.25165E-05,0.000115781,0.000133009,0.000143514,0.000150669,0.000155896
840,8.19126E-05,0.000114936,0.000132006,0.000142387,0.000149444,0.000154592
847.5,8.06829E-05,0.000112969,0.000129428,0.00013925,0.00014578,0.000150427
855,7.97626E-05,0.000111548,0.000127609,0.000137074,0.000143272,0.00014761
862.5,7.90771E-05,0.000110544,0.000126368,0.000135631,0.000141647,0.000145822
870,7.7906E-05,0.000108666,0.0001239,0.000132618,0.000138117,0.000141796
877.5,7.72193E-05,0.00010765,0.000122634,0.000131133,0.000136431,0.000139923
885,7.64716E-05,0.000106521,0.000121207,0.000129438,0.000134488,0.000137746
892.5,7.55797E-05,0.000105129,0.000119408,0.000127266,0.000131961,0.00013488
900,7.51523E-05,0.000104567,0.000118769,0.000126569,0.000131218,0.000134101
907.5,7.46365E-05,0.000103844,0.000117904,0.000125583,0.000130123,0.000132907
915,7.46499E-05,0.00010407,0.00011837,0.000126294,0.000131084,0.000134125
922.5,7.46806E-05,0.000104328,0.000118882,0.000127068,0.000132125,0.00013544
930,7.40008E-05,0.00010331,0.000117604,0.000125557,0.000130397,0.00013351
937.5,7.30409E-05,0.000101785,0.000115609,0.000123127,0.000127552,0.000130267
945,7.24675E-05,0.00010095,0.00011458,0.000121926,0.000126192,0.000128758
952.5,7.18862E-05,0.000100098,0.000113525,0.00012069,0.000124787,0.000127193
960,7.13706E-05,9.93627E-05,0.00011263,0.000119656,0.000123624,0.000125911
967.5,7.06385E-05,9.82345E-05,0.000111182,0.000117912,0.000121598,0.000123613
975,6.99053E-05,9.71008E-05,0.000109722,0.00011615,0.000119545,0.000121279
982.5,6.923E-05,9.60679E-05,0.0001084,0.000114561,0.000117698,0.000119182
990,6.82598E-05,9.44997E-05,0.000106322,0.000112,0.000114669,0.000115692
997.5,6.75033E-05,9.33123E-05,0.000104774,0.000110113,0.00011245,0.000113147
1005,6.70657E-05,9.26968E-05,0.000104029,0.000109248,0.000111467,0.000112047
1012.5,6.70341E-05,9.28129E-05,0.000104313,0.000109698,0.000112078,0.000112817
1020,6.68787E-05,9.27058E-05,0.000104284,0.000109749,0.000112207,0.000113023
1027.5,6.63334E-05,9.1894E-05,0.000103262,0.00010853,0.000110795,0.000111422
1035,6.57629E-05,9.10342E-05,0.00010217,0.000107219,0.000109269,0.000109683
1042.5,6.56265E-05,9.09571E-05,0.000102179,0.000107315,0.000109448,0.000109942
1050,6.52071E-05,9.03679E-05,0.000101467,0.000106488,0.000108507,0.000108888
1057.5,6.47955E-05,8.97912E-05,0.00010077,0.00010568,0.000107588,0.000107857
1065,6.43944E-05,8.92317E-05,0.000100097,0.0001049,0.000106701,0.000106862
1072.5,6.39909E-05,8.86665E-05,9.94139E-05,0.000104106,0.000105796,0.000105845
1080,6.36E-05,8.81223E-05,9.87594E-05,0.000103348,0.000104932,0.000104873
1087.5,6.32437E-05,8.76394E-05,9.81901E-05,0.000102697,0.000104198,0.000104052
1095,6.29259E-05,8.72249E-05,9.77165E-05,0.000102167,0.000103609,0.000103401
1102.5,6.2597E-05,8.67894E-05,9.72122E-05,0.000101598,0.000102971,0.00010269
1110,6.22567E-05,8.63319E-05,9.6676E-05,0.000100987,0.000102281,0.000101918
1117.5,6.18881E-05,8.58219E-05,9.60648E-05,0.000100278,0.000101472,0.000101005
1125,6.15283E-05,8.53264E-05,9.54727E-05,9.95934E-05,0.00010069,0.000100121
1132.5,6.11865E-05,8.48621E-05,9.49238E-05,9.89625E-05,9.99727E-05,9.93111E-05
1140,6.08544E-05,8.44144E-05,9.43972E-05,9.83591E-05,9.92872E-05,9.85377E-05
1147.5,6.05351E-05,8.39887E-05,9.39009E-05,9.77935E-05,9.86466E-05,9.78155E-05
1155,6.02365E-05,8.35995E-05,9.34551E-05,9.72918E-05,9.80824E-05,9.71819E-05
1162.5,5.99822E-05,8.32899E-05,9.31213E-05,9.69327E-05,9.76906E-05,9.67498E-05
1170,5.97384E-05,8.29986E-05,9.28129E-05,9.66059E-05,9.73376E-05,9.63624E-05
1177.5,5.95124E-05,8.27391E-05,9.25491E-05,9.63359E-05,9.70531E-05,9.6055E-05
1185,5.93309E-05,8.25601E-05,9.2399E-05,9.62113E-05,9.6945E-05,9.59545E-05
1192.5,5.91769E-05,8.24309E-05,9.23193E-05,9.61771E-05,9.69469E-05,9.59833E-05
1200,5.9017E-05,8.22908E-05,9.22244E-05,9.61238E-05,9.69261E-05,9.59856E-05
1207.5,5.88485E-05,8.21348E-05,9.21072E-05,9.60423E-05,9.68711E-05,9.59482E-05
1215,5.87173E-05,8.20465E-05,9.2086E-05,9.60841E-05,9.69664E-05,9.60873E-05
1222.5,5.85807E-05,8.19484E-05,9.20513E-05,9.61091E-05,9.70417E-05,9.62038E-05
1230,5.84169E-05,8.18004E-05,9.19462E-05,9.60444E-05,9.70086E-05,9.61932E-05
1237.5,5.82306E-05,8.16112E-05,9.1783E-05,9.59054E-05,9.68855E-05,9.60772E-05
1245,5.8023E-05,8.13828E-05,9.15642E-05,9.56952E-05,9.6676E-05,9.58598E-05
1252.5,5.7845E-05,8.12079E-05,9.14212E-05,9.55822E-05,9.65845E-05,9.57807E-05
1260,5.76513E-05,8.10038E-05,9.12368E-05,9.54163E-05,9.64289E-05,9.56265E-05
1267.5,5.74534E-05,8.07919E-05,9.10412E-05,9.52361E-05,9.62559E-05,9.54518E-05
1275,5.72696E-05,8.06052E-05,9.08813E-05,9.51017E-05,9.61387E-05,9.53425E-05
1282.5,5.7112E-05,8.04661E-05,9.07889E-05,9.5054E-05,9.61269E-05,9.53572E-05
1290,5.69337E-05,8.02888E-05,9.06426E-05,9.49375E-05,9.60319E-05,9.52743E-05
1297.5,5.67504E-05,8.01021E-05,9.04829E-05,9.4804E-05,9.59164E-05,9.51675E-05
1305,5.65749E-05,7.99293E-05,9.0343E-05,9.4696E-05,9.5832E-05,9.50973E-05
1312.5,5.64111E-05,7.97776E-05,9.0233E-05,9.46266E-05,9.57947E-05,9.50826E-05
1320,5.62748E-05,7.96762E-05,9.01946E-05,9.46494E-05,9.58698E-05,9.52002E-05
1327.5,5.61341E-05,7.95665E-05,9.01448E-05,9.4658E-05,9.59284E-05,9.52989E-05
1335,5.59971E-05,7.94635E-05,9.01047E-05,9.46797E-05,9.60033E-05,9.54174E-05
1342.5,5.58572E-05,7.93551E-05,9.00574E-05,9.46925E-05,9.60679E-05,9.55244E-05
1350,5.57241E-05,7.9259E-05,9.00278E-05,9.47286E-05,9.61615E-05,9.56659E-05
1357.5,5.55742E-05,7.91319E-05,8.99546E-05,9.47092E-05,9.61882E-05,9.57295E-05
1365,5.54066E-05,7.89722E-05,8.98352E-05,9.4631E-05,9.61438E-05,9.57099E-05
