Z,LR20,LR40,LR60,LR80,LR100,LR120
525,3.00089E-05,4.96363E-05,6.2754E-05,7.15681E-05,7.74236E-05,8.11834E-05
532.5,2.98372E-05,4.93588E-05,6.24021E-05,7.11576E-05,7.69621E-05,8.06741E-05
540,2.96761E-05,4.91002E-05,6.20764E-05,7.07796E-05,7.65389E-05,8.02086E-05
547.5,2.94654E-05,4.87506E-05,6.16234E-05,7.02416E-05,7.59253E-05,7.95241E-05
555,2.93241E-05,4.85274E-05,6.13463E-05,6.99239E-05,7.55731E-05,7.91396E-05
562.5,2.93234E-05,4.85614E-05,6.14278E-05,7.00562E-05,7.57553E-05,7.9369E-05
570,2.94608E-05,4.88482E-05,6.18622E-05,7.06318E-05,7.64644E-05,8.02041E-05
577.5,2.9741E-05,4.93969E-05,6.26626E-05,7.16674E-05,7.77207E-05,8.16687E-05
585,3.00869E-05,5.0067E-05,6.36333E-05,7.29179E-05,7.92334E-05,8.34289E-05
592.5,3.03712E-05,5.06247E-05,6.44482E-05,7.39738E-05,8.0516E-05,8.49258E-05
600,3.08097E-05,5.14661E-05,6.56601E-05,7.55295E-05,8.23937E-05,8.71077E-05
607.5,3.10664E-05,5.19752E-05,6.64093E-05,7.65052E-05,8.35833E-05,8.85003E-05
615,3.13881E-05,5.26043E-05,6.73269E-05,7.76935E-05,8.50267E-05,9.01856E-05
622.5,3.16795E-05,5.31786E-05,6.81691E-05,7.87881E-05,8.63598E-05,9.17453E-05
630,3.19695E-05,5.37511E-05,6.90097E-05,7.98818E-05,8.76931E-05,9.33063E-05
637.5,3.22605E-05,5.43265E-05,6.98552E-05,8.09827E-05,8.9036E-05,9.48797E-05
645,3.25457E-05,5.48918E-05,7.06878E-05,8.20685E-05,9.03622E-05,9.64349E-05
652.5,3.27673E-05,5.53412E-05,7.1359E-05,8.29525E-05,9.14494E-05,9.77166E-05
660,3.30467E-05,5.58974E-05,7.21806E-05,8.40266E-05,9.27638E-05,9.92605E-05
667.5,3.35245E-05,5.68192E-05,7.35149E-05,8.57467E-05,9.48481E-05,0.000101692
675,3.38033E-05,5.73765E-05,7.43406E-05,8.68287E-05,9.61749E-05,0.000103253
682.5,3.42064E-05,5.81631E-05,7.54884E-05,8.83173E-05,9.79867E-05,0.000105374
690,3.44032E-05,5.85714E-05,7.61077E-05,8.91421E-05,9.90103E-05,0.000106589
697.5,3.47015E-05,5.91672E-05,7.69905E-05,9.02996E-05,0.000100431,0.000108262
705,3.48573E-05,5.95013E-05,7.75078E-05,9.09982E-05,0.000101306,0.00010931
712.5,3.48578E-05,5.95498E-05,7.76254E-05,9.11939E-05,0.000101584,0.00010967
720,3.48094E-05,5.95082E-05,7.76169E-05,9.12313E-05,0.000101673,0.000109813
727.5,3.46724E-05,5.93033E-05,7.73793E-05,9.09799E-05,0.000101418,0.000109561
735,3.44962E-05,5.90256E-05,7.70393E-05,9.05994E-05,0.00010101,0.000109132
