Z,N1,M1,N3,M3,N5,M5
585,1.50E-05,7.07E-06,3.22E-06,1.49E-06,4.08E-06,1.49E-06
592.5,1.47E-05,7.05E-06,3.28E-06,1.49E-06,4.18E-06,1.49E-06
600,1.48E-05,7.04E-06,3.29E-06,1.48E-06,4.11E-06,1.48E-06
607.5,1.45E-05,7.03E-06,3.37E-06,1.48E-06,4.22E-06,1.48E-06
615,1.47E-05,7.02E-06,3.36E-06,1.48E-06,4.28E-06,1.48E-06
622.5,1.44E-05,7.01E-06,3.32E-06,1.48E-06,4.30E-06,1.48E-06
630,1.44E-05,6.99E-06,3.35E-06,1.48E-06,4.22E-06,1.48E-06
637.5,1.42E-05,6.98E-06,3.30E-06,1.48E-06,4.18E-06,1.48E-06
645,1.43E-05,6.97E-06,3.31E-06,1.48E-06,4.13E-06,1.48E-06
652.5,1.42E-05,6.96E-06,3.31E-06,1.47E-06,4.19E-06,1.47E-06
660,1.40E-05,6.95E-06,3.34E-06,1.47E-06,4.14E-06,1.47E-06
667.5,1.40E-05,6.93E-06,3.40E-06,1.47E-06,4.08E-06,1.47E-06
675,1.40E-05,6.92E-06,3.41E-06,1.47E-06,4.17E-06,1.47E-06
682.5,1.40E-05,6.91E-06,3.45E-06,1.47E-06,4.19E-06,1.47E-06
690,1.38E-05,6.90E-06,3.48E-06,1.47E-06,4.13E-06,1.47E-06
697.5,1.40E-05,6.89E-06,3.54E-06,1.47E-06,4.16E-06,1.47E-06
705,1.38E-05,6.87E-06,3.47E-06,1.46E-06,4.20E-06,1.46E-06
712.5,1.39E-05,6.86E-06,3.48E-06,1.46E-06,4.06E-06,1.46E-06
720,1.35E-05,6.85E-06,3.38E-06,1.46E-06,3.98E-06,1.46E-06
727.5,1.36E-05,6.84E-06,3.44E-06,1.46E-06,3.86E-06,1.46E-06
735,1.35E-05,6.83E-06,3.39E-06,1.46E-06,4.03E-06,1.46E-06
742.5,1.34E-05,6.82E-06,3.36E-06,1.46E-06,3.91E-06,1.46E-06
750,1.32E-05,6.80E-06,3.34E-06,1.46E-06,3.97E-06,1.46E-06
757.5,1.31E-05,6.79E-06,3.34E-06,1.46E-06,3.91E-06,1.46E-06
765,1.31E-05,6.78E-06,3.35E-06,1.45E-06,3.79E-06,1.45E-06
772.5,1.32E-05,6.77E-06,3.34E-06,1.45E-06,3.76E-06,1.45E-06
780,1.30E-05,6.76E-06,3.35E-06,1.45E-06,3.79E-06,1.45E-06
787.5,1.31E-05,6.75E-06,3.39E-06,1.45E-06,3.73E-06,1.45E-06
795,1.26E-05,6.73E-06,3.35E-06,1.45E-06,3.86E-06,1.45E-06
802.5,1.28E-05,6.72E-06,3.30E-06,1.45E-06,3.65E-06,1.45E-06
810,1.28E-05,6.71E-06,3.33E-06,1.45E-06,3.63E-06,1.45E-06
817.5,1.25E-05,6.70E-06,3.25E-06,1.44E-06,3.66E-06,1.44E-06
825,1.26E-05,6.69E-06,3.25E-06,1.44E-06,3.65E-06,1.44E-06
832.5,1.25E-05,6.68E-06,3.25E-06,1.44E-06,3.55E-06,1.44E-06
840,1.24E-05,6.67E-06,3.19E-06,1.44E-06,3.61E-06,1.44E-06
847.5,1.24E-05,6.65E-06,3.22E-06,1.44E-06,3.62E-06,1.44E-06
855,1.22E-05,6.64E-06,3.21E-06,1.44E-06,3.50E-06,1.44E-06
862.5,1.22E-05,6.63E-06,3.18E-06,1.44E-06,3.56E-06,1.44E-06
870,1.20E-05,6.62E-06,3.22E-06,1.44E-06,3.38E-06,1.44E-06
877.5,1.18E-05,6.61E-06,3.19E-06,1.43E-06,3.50E-06,1.43E-06
885,1.20E-05,6.60E-06,3.19E-06,1.43E-06,3.47E-06,1.43E-06
892.5,1.18E-05,6.59E-06,3.19E-06,1.43E-06,3.44E-06,1.43E-06
900,1.16E-05,6.58E-06,3.10E-06,1.43E-06,3.37E-06,1.43E-06
907.5,1.18E-05,6.56E-06,3.12E-06,1.43E-06,3.45E-06,1.43E-06
915,1.17E-05,6.55E-06,3.03E-06,1.43E-06,3.45E-06,1.43E-06
922.5,1.16E-05,6.54E-06,3.08E-06,1.43E-06,3.29E-06,1.43E-06
930,1.17E-05,6.53E-06,3.04E-06,1.43E-06,3.41E-06,1.43E-06
937.5,1.16E-05,6.52E-06,2.99E-06,1.42E-06,3.36E-06,1.42E-06
945,1.17E-05,6.51E-06,3.07E-06,1.42E-06,3.37E-06,1.42E-06
952.5,1.15E-05,6.50E-06,3.01E-06,1.42E-06,3.37E-06,1.42E-06
960,1.13E-05,6.49E-06,3.07E-06,1.42E-06,3.28E-06,1.42E-06
967.5,1.10E-05,6.48E-06,3.02E-06,1.42E-06,3.13E-06,1.42E-06
975,1.11E-05,6.46E-06,3.00E-06,1.42E-06,3.21E-06,1.42E-06
982.5,1.12E-05,6.45E-06,2.96E-06,1.42E-06,3.23E-06,1.42E-06
990,1.12E-05,6.44E-06,2.94E-06,1.41E-06,3.13E-06,1.41E-06
997.5,1.09E-05,6.43E-06,2.85E-06,1.41E-06,3.10E-06,1.41E-06
1005,1.07E-05,6.42E-06,2.86E-06,1.41E-06,3.16E-06,1.41E-06
1012.5,1.11E-05,6.41E-06,2.84E-06,1.41E-06,3.15E-06,1.41E-06
1020,1.09E-05,6.40E-06,2.85E-06,1.41E-06,3.19E-06,1.41E-06
1027.5,1.10E-05,6.39E-06,2.87E-06,1.41E-06,3.16E-06,1.41E-06
1035,1.09E-05,6.38E-06,2.82E-06,1.41E-06,3.30E-06,1.41E-06
1042.5,1.07E-05,6.37E-06,2.90E-06,1.41E-06,3.13E-06,1.41E-06
1050,1.05E-05,6.36E-06,2.85E-06,1.40E-06,3.14E-06,1.40E-06
1057.5,1.06E-05,6.34E-06,2.81E-06,1.40E-06,3.04E-06,1.40E-06
1065,1.07E-05,6.33E-06,2.85E-06,1.40E-06,3.14E-06,1.40E-06
1072.5,1.06E-05,6.32E-06,2.85E-06,1.40E-06,3.03E-06,1.40E-06
1080,1.03E-05,6.31E-06,2.82E-06,1.40E-06,2.92E-06,1.40E-06
1087.5,1.04E-05,6.30E-06,2.85E-06,1.40E-06,2.92E-06,1.40E-06
1095,1.02E-05,6.29E-06,2.80E-06,1.40E-06,3.04E-06,1.40E-06
1102.5,1.05E-05,6.28E-06,2.81E-06,1.40E-06,2.91E-06,1.40E-06
1110,1.04E-05,6.27E-06,2.82E-06,1.39E-06,2.99E-06,1.39E-06
1117.5,1.02E-05,6.26E-06,2.75E-06,1.39E-06,2.97E-06,1.39E-06
1125,1.05E-05,6.25E-06,2.76E-06,1.39E-06,2.99E-06,1.39E-06
1132.5,1.05E-05,6.24E-06,2.79E-06,1.39E-06,2.94E-06,1.39E-06
1140,9.91E-06,6.23E-06,2.77E-06,1.39E-06,2.94E-06,1.39E-06
1147.5,1.02E-05,6.22E-06,2.76E-06,1.39E-06,3.02E-06,1.39E-06
1155,1.03E-05,6.21E-06,2.72E-06,1.39E-06,2.97E-06,1.39E-06
1162.5,1.00E-05,6.20E-06,2.76E-06,1.39E-06,3.00E-06,1.39E-06
1170,1.02E-05,6.19E-06,2.72E-06,1.38E-06,2.99E-06,1.38E-06
1177.5,9.94E-06,6.18E-06,2.70E-06,1.38E-06,2.90E-06,1.38E-06
1185,9.93E-06,6.17E-06,2.73E-06,1.38E-06,2.85E-06,1.38E-06
1192.5,9.86E-06,6.16E-06,2.73E-06,1.38E-06,3.02E-06,1.38E-06
1200,9.86E-06,6.14E-06,2.76E-06,1.38E-06,2.91E-06,1.38E-06
1207.5,9.77E-06,6.13E-06,2.76E-06,1.38E-06,2.90E-06,1.38E-06
1215,9.91E-06,6.12E-06,2.68E-06,1.38E-06,2.76E-06,1.38E-06
1222.5,1.00E-05,6.11E-06,2.66E-06,1.38E-06,2.67E-06,1.38E-06
1230,9.64E-06,6.10E-06,2.67E-06,1.37E-06,2.91E-06,1.37E-06
1237.5,9.46E-06,6.09E-06,2.69E-06,1.37E-06,2.89E-06,1.37E-06
1245,9.51E-06,6.08E-06,2.68E-06,1.37E-06,2.72E-06,1.37E-06
