Z,N1,M1,N3,M3,N5,M5
6870,1.94E-06,1.97E-06,5.92E-07,6.85E-07,6.40E-07,6.85E-07
6877.5,2.16E-06,1.97E-06,6.66E-07,6.84E-07,7.23E-07,6.84E-07
6885,2.24E-06,1.96E-06,6.97E-07,6.84E-07,3.14E-07,6.84E-07
6892.5,1.88E-06,1.96E-06,6.69E-07,6.83E-07,6.44E-07,6.83E-07
6900,2.40E-06,1.96E-06,5.68E-07,6.82E-07,3.16E-07,6.82E-07
6907.5,2.69E-06,1.96E-06,6.13E-07,6.82E-07,6.47E-07,6.82E-07
6915,1.97E-06,1.95E-06,6.74E-07,6.81E-07,4.83E-07,6.81E-07
6922.5,9.48E-07,1.95E-06,8.82E-07,6.80E-07,3.18E-07,6.80E-07
6930,1.46E-06,1.95E-06,7.80E-07,6.80E-07,9.01E-07,6.80E-07
6937.5,1.39E-06,1.95E-06,6.34E-07,6.79E-07,2.36E-07,6.79E-07
6945,1.40E-06,1.94E-06,7.09E-07,6.78E-07,5.70E-07,6.78E-07
6952.5,1.99E-06,1.94E-06,8.60E-07,6.78E-07,4.04E-07,6.78E-07
6960,2.14E-06,1.94E-06,5.63E-07,6.77E-07,9.93E-07,6.77E-07
6967.5,1.18E-06,1.93E-06,6.84E-07,6.76E-07,4.06E-07,6.76E-07
6975,2.38E-06,1.93E-06,8.06E-07,6.76E-07,4.07E-07,6.76E-07
6982.5,1.78E-06,1.93E-06,7.02E-07,6.75E-07,7.46E-07,6.75E-07
6990,2.39E-06,1.93E-06,6.73E-07,6.74E-07,5.78E-07,6.74E-07
6997.5,2.09E-06,1.92E-06,5.39E-07,6.74E-07,4.94E-07,6.74E-07
7005,2.02E-06,1.92E-06,6.46E-07,6.73E-07,5.80E-07,6.73E-07
7012.5,1.57E-06,1.92E-06,6.93E-07,6.73E-07,6.67E-07,6.73E-07
7020,1.58E-06,1.92E-06,7.10E-07,6.72E-07,6.68E-07,6.72E-07
7027.5,2.11E-06,1.91E-06,7.11E-07,6.71E-07,4.99E-07,6.71E-07
7035,2.49E-06,1.91E-06,6.52E-07,6.71E-07,7.57E-07,6.71E-07
7042.5,1.59E-06,1.91E-06,6.53E-07,6.70E-07,6.73E-07,6.70E-07
7050,1.97E-06,1.91E-06,5.32E-07,6.69E-07,6.74E-07,6.69E-07
7057.5,1.75E-06,1.90E-06,7.79E-07,6.69E-07,5.03E-07,6.69E-07
7065,2.36E-06,1.90E-06,7.49E-07,6.68E-07,5.90E-07,6.68E-07
7072.5,2.14E-06,1.90E-06,4.89E-07,6.67E-07,9.38E-07,6.67E-07
7080,1.45E-06,1.90E-06,6.60E-07,6.67E-07,4.19E-07,6.67E-07
7087.5,1.61E-06,1.89E-06,8.94E-07,6.66E-07,5.94E-07,6.66E-07
7095,2.38E-06,1.89E-06,5.54E-07,6.66E-07,5.95E-07,6.66E-07
7102.5,1.69E-06,1.89E-06,6.49E-07,6.65E-07,5.97E-07,6.65E-07
7110,2.24E-06,1.89E-06,8.53E-07,6.64E-07,5.10E-07,6.64E-07
7117.5,1.85E-06,1.88E-06,6.67E-07,6.64E-07,5.11E-07,6.64E-07
7125,2.17E-06,1.88E-06,6.68E-07,6.63E-07,6.88E-07,6.63E-07
7132.5,1.71E-06,1.88E-06,5.60E-07,6.62E-07,2.49E-07,6.62E-07
7140,1.40E-06,1.87E-06,8.60E-07,6.62E-07,6.91E-07,6.62E-07
7147.5,2.03E-06,1.87E-06,6.57E-07,6.61E-07,8.70E-07,6.61E-07
7155,2.42E-06,1.87E-06,5.16E-07,6.61E-07,5.17E-07,6.61E-07
7162.5,1.41E-06,1.87E-06,4.54E-07,6.60E-07,7.85E-07,6.60E-07
7170,1.80E-06,1.86E-06,5.50E-07,6.59E-07,8.75E-07,6.59E-07
7177.5,1.73E-06,1.86E-06,6.78E-07,6.59E-07,4.31E-07,6.59E-07
7185,1.89E-06,1.86E-06,7.11E-07,6.58E-07,3.42E-07,6.58E-07
7192.5,2.05E-06,1.86E-06,6.01E-07,6.57E-07,5.22E-07,6.57E-07
7200,2.14E-06,1.85E-06,4.91E-07,6.57E-07,8.83E-07,6.57E-07
7207.5,2.06E-06,1.85E-06,5.24E-07,6.56E-07,8.84E-07,6.56E-07
7215,1.03E-06,1.85E-06,6.69E-07,6.56E-07,4.35E-07,6.56E-07
7222.5,1.99E-06,1.85E-06,6.71E-07,6.55E-07,5.27E-07,6.55E-07
7230,2.07E-06,1.84E-06,5.43E-07,6.54E-07,6.18E-07,6.54E-07
7237.5,1.52E-06,1.84E-06,6.25E-07,6.54E-07,1.07E-06,6.54E-07
7245,1.68E-06,1.84E-06,6.59E-07,6.53E-07,5.30E-07,6.53E-07
7252.5,2.33E-06,1.84E-06,6.93E-07,6.52E-07,6.22E-07,6.52E-07
7260,1.61E-06,1.83E-06,7.43E-07,6.52E-07,3.49E-07,6.52E-07
7267.5,1.13E-06,1.83E-06,6.63E-07,6.51E-07,5.33E-07,6.51E-07
7275,8.86E-07,1.83E-06,5.34E-07,6.51E-07,3.51E-07,6.51E-07
7282.5,1.94E-06,1.83E-06,7.64E-07,6.50E-07,5.35E-07,6.50E-07
7290,1.78E-06,1.82E-06,7.65E-07,6.49E-07,5.36E-07,6.49E-07
7297.5,1.79E-06,1.82E-06,5.86E-07,6.49E-07,8.14E-07,6.49E-07
7305,1.95E-06,1.82E-06,6.37E-07,6.48E-07,5.39E-07,6.48E-07
7312.5,1.88E-06,1.82E-06,4.73E-07,6.47E-07,5.40E-07,6.47E-07
7320,1.14E-06,1.81E-06,7.05E-07,6.47E-07,5.41E-07,6.47E-07
7327.5,1.97E-06,1.81E-06,6.74E-07,6.46E-07,7.28E-07,6.46E-07
7335,1.80E-06,1.81E-06,4.76E-07,6.46E-07,3.57E-07,6.46E-07
7342.5,2.63E-06,1.81E-06,5.77E-07,6.45E-07,1.01E-06,6.45E-07
7350,1.98E-06,1.81E-06,5.61E-07,6.44E-07,8.26E-07,6.44E-07
7357.5,1.57E-06,1.80E-06,5.62E-07,6.44E-07,1.11E-06,6.44E-07
7365,1.65E-06,1.80E-06,4.63E-07,6.43E-07,2.66E-07,6.43E-07
7372.5,1.32E-06,1.80E-06,6.82E-07,6.43E-07,1.11E-06,6.43E-07
7380,1.74E-06,1.80E-06,6.16E-07,6.42E-07,5.50E-07,6.42E-07
7387.5,1.75E-06,1.79E-06,6.68E-07,6.41E-07,5.51E-07,6.41E-07
7395,1.92E-06,1.79E-06,5.85E-07,6.41E-07,7.42E-07,6.41E-07
7402.5,1.75E-06,1.79E-06,7.38E-07,6.40E-07,2.68E-07,6.40E-07
7410,1.59E-06,1.79E-06,8.92E-07,6.39E-07,2.69E-07,6.39E-07
7417.5,1.00E-06,1.78E-06,4.02E-07,6.39E-07,3.65E-07,6.39E-07
7425,1.01E-06,1.78E-06,6.58E-07,6.38E-07,4.61E-07,6.38E-07
7432.5,1.68E-06,1.78E-06,6.59E-07,6.38E-07,5.58E-07,6.38E-07
7440,1.77E-06,1.78E-06,6.26E-07,6.37E-07,7.51E-07,6.37E-07
7447.5,1.95E-06,1.77E-06,9.01E-07,6.36E-07,4.64E-07,6.36E-07
7455,1.35E-06,1.77E-06,6.12E-07,6.36E-07,2.72E-07,6.36E-07
7462.5,2.55E-06,1.77E-06,5.44E-07,6.35E-07,6.59E-07,6.35E-07
7470,2.47E-06,1.77E-06,8.21E-07,6.35E-07,5.63E-07,6.35E-07
7477.5,2.13E-06,1.76E-06,6.67E-07,6.34E-07,2.74E-07,6.34E-07
7485,1.62E-06,1.76E-06,7.38E-07,6.33E-07,3.71E-07,6.33E-07
7492.5,1.20E-06,1.76E-06,6.35E-07,6.33E-07,7.61E-07,6.33E-07
7500,1.03E-06,1.76E-06,6.02E-07,6.32E-07,8.60E-07,6.32E-07
7507.5,1.80E-06,1.75E-06,6.90E-07,6.32E-07,5.69E-07,6.32E-07
7515,1.89E-06,1.75E-06,6.04E-07,6.31E-07,8.64E-07,6.31E-07
7522.5,1.81E-06,1.75E-06,6.58E-07,6.30E-07,8.65E-07,6.30E-07
7530,1.47E-06,1.75E-06,5.19E-07,6.30E-07,6.71E-07,6.30E-07
7537.5,1.21E-06,1.75E-06,5.90E-07,6.29E-07,2.78E-07,6.29E-07
7545,1.82E-06,1.74E-06,5.04E-07,6.29E-07,5.75E-07,6.29E-07
7552.5,2.26E-06,1.74E-06,6.28E-07,6.28E-07,2.79E-07,6.28E-07
7560,1.22E-06,1.74E-06,5.94E-07,6.27E-07,4.78E-07,6.27E-07
7567.5,2.36E-06,1.74E-06,5.24E-07,6.27E-07,4.79E-07,6.27E-07
7575,1.75E-06,1.73E-06,5.25E-07,6.26E-07,2.81E-07,6.26E-07
7582.5,1.58E-06,1.73E-06,5.62E-07,6.26E-07,3.81E-07,6.26E-07
7590,2.20E-06,1.73E-06,5.10E-07,6.25E-07,4.82E-07,6.25E-07
7597.5,1.05E-06,1.73E-06,5.64E-07,6.24E-07,5.83E-07,6.24E-07
7605,2.82E-06,1.72E-06,6.37E-07,6.24E-07,3.83E-07,6.24E-07
7612.5,1.86E-06,1.72E-06,6.92E-07,6.23E-07,3.84E-07,6.23E-07
7620,1.50E-06,1.72E-06,5.50E-07,6.23E-07,3.85E-07,6.23E-07
7627.5,1.42E-06,1.72E-06,6.22E-07,6.22E-07,7.89E-07,6.22E-07
7635,1.96E-06,1.71E-06,5.34E-07,6.21E-07,3.86E-07,6.21E-07
7642.5,1.87E-06,1.71E-06,5.17E-07,6.21E-07,7.92E-07,6.21E-07
7650,1.78E-06,1.71E-06,6.08E-07,6.20E-07,7.94E-07,6.20E-07
7657.5,1.43E-06,1.71E-06,7.72E-07,6.20E-07,8.97E-07,6.20E-07
7665,1.97E-06,1.71E-06,8.10E-07,6.19E-07,2.88E-07,6.19E-07
7672.5,1.79E-06,1.70E-06,7.39E-07,6.18E-07,7.98E-07,6.18E-07
7680,1.53E-06,1.70E-06,6.86E-07,6.18E-07,6.98E-07,6.18E-07
7687.5,1.53E-06,1.70E-06,6.50E-07,6.17E-07,3.92E-07,6.17E-07
7695,1.99E-06,1.70E-06,4.51E-07,6.17E-07,3.93E-07,6.17E-07
7702.5,1.63E-06,1.69E-06,5.43E-07,6.16E-07,3.93E-07,6.16E-07
7710,1.72E-06,1.69E-06,8.38E-07,6.15E-07,7.03E-07,6.15E-07
7717.5,1.63E-06,1.69E-06,4.72E-07,6.15E-07,9.11E-07,6.15E-07
7725,1.91E-06,1.69E-06,5.10E-07,6.14E-07,1.22E-06,6.14E-07
7732.5,1.55E-06,1.69E-06,5.11E-07,6.14E-07,7.07E-07,6.14E-07
7740,1.46E-06,1.68E-06,7.52E-07,6.13E-07,2.93E-07,6.13E-07
7747.5,2.11E-06,1.68E-06,8.46E-07,6.13E-07,2.94E-07,6.13E-07
7755,1.19E-06,1.68E-06,6.81E-07,6.12E-07,1.34E-06,6.12E-07
7762.5,2.48E-06,1.68E-06,6.08E-07,6.11E-07,1.03E-06,6.11E-07
7770,1.10E-06,1.67E-06,7.20E-07,6.11E-07,4.00E-07,6.11E-07
7777.5,1.75E-06,1.67E-06,6.47E-07,6.10E-07,7.15E-07,6.10E-07
7785,1.20E-06,1.67E-06,4.80E-07,6.10E-07,4.02E-07,6.10E-07
7792.5,1.11E-06,1.67E-06,7.81E-07,6.09E-07,5.08E-07,6.09E-07
7800,1.20E-06,1.67E-06,6.13E-07,6.08E-07,6.14E-07,6.08E-07
7807.5,1.30E-06,1.66E-06,4.83E-07,6.08E-07,5.10E-07,6.08E-07
7815,1.40E-06,1.66E-06,7.29E-07,6.07E-07,1.15E-06,6.07E-07
7822.5,7.44E-07,1.66E-06,6.92E-07,6.07E-07,3.00E-07,6.07E-07
7830,1.87E-06,1.66E-06,7.13E-07,6.06E-07,4.06E-07,6.06E-07
7837.5,2.15E-06,1.65E-06,3.92E-07,6.06E-07,9.39E-07,6.06E-07
7845,1.59E-06,1.65E-06,6.96E-07,6.05E-07,1.95E-07,6.05E-07
7852.5,1.60E-06,1.65E-06,7.36E-07,6.04E-07,3.02E-07,6.04E-07
7860,1.69E-06,1.65E-06,5.47E-07,6.04E-07,8.84E-08,6.04E-07
7867.5,1.41E-06,1.65E-06,5.29E-07,6.03E-07,4.10E-07,6.03E-07
7875,1.61E-06,1.64E-06,7.02E-07,6.03E-07,5.19E-07,6.03E-07
7882.5,1.89E-06,1.64E-06,4.73E-07,6.02E-07,4.12E-07,6.02E-07
7890,1.42E-06,1.64E-06,4.55E-07,6.01E-07,6.28E-07,6.01E-07
7897.5,1.43E-06,1.64E-06,5.90E-07,6.01E-07,3.05E-07,6.01E-07
7905,1.33E-06,1.63E-06,6.88E-07,6.00E-07,8.47E-07,6.00E-07
7912.5,1.53E-06,1.63E-06,6.51E-07,6.00E-07,5.24E-07,6.00E-07
7920,1.53E-06,1.63E-06,6.71E-07,5.99E-07,8.51E-07,5.99E-07
7927.5,1.53E-06,1.63E-06,7.11E-07,5.99E-07,6.34E-07,5.99E-07
7935,1.25E-06,1.63E-06,7.51E-07,5.98E-07,5.26E-07,5.98E-07
7942.5,1.92E-06,1.62E-06,6.55E-07,5.97E-07,2.00E-07,5.97E-07
7950,1.93E-06,1.62E-06,5.59E-07,5.97E-07,4.19E-07,5.97E-07
7957.5,9.63E-07,1.62E-06,6.38E-07,5.96E-07,1.08E-06,5.96E-07
7965,1.35E-06,1.62E-06,5.03E-07,5.96E-07,6.40E-07,5.96E-07
7972.5,1.55E-06,1.61E-06,5.82E-07,5.95E-07,3.11E-07,5.95E-07
7980,1.94E-06,1.61E-06,5.63E-07,5.95E-07,4.22E-07,5.95E-07
7987.5,1.07E-06,1.61E-06,7.22E-07,5.94E-07,3.12E-07,5.94E-07
7995,1.75E-06,1.61E-06,5.06E-07,5.93E-07,6.45E-07,5.93E-07
8002.5,1.27E-06,1.61E-06,4.28E-07,5.93E-07,-1.93E-08,5.93E-07
8010,1.66E-06,1.60E-06,5.88E-07,5.92E-07,2.03E-07,5.92E-07
8017.5,1.17E-06,1.60E-06,6.48E-07,5.92E-07,8.72E-07,5.92E-07
8025,1.18E-06,1.60E-06,5.30E-07,5.91E-07,4.27E-07,5.91E-07
8032.5,1.67E-06,1.60E-06,5.31E-07,5.91E-07,3.16E-07,5.91E-07
8040,2.37E-06,1.60E-06,6.32E-07,5.90E-07,2.05E-07,5.90E-07
8047.5,1.48E-06,1.59E-06,5.93E-07,5.89E-07,5.42E-07,5.89E-07
8055,1.78E-06,1.59E-06,5.14E-07,5.89E-07,5.43E-07,5.89E-07
8062.5,1.29E-06,1.59E-06,4.75E-07,5.88E-07,6.56E-07,5.88E-07
8070,9.90E-07,1.59E-06,5.96E-07,5.88E-07,7.70E-07,5.88E-07
8077.5,1.79E-06,1.59E-06,5.98E-07,5.87E-07,7.72E-07,5.87E-07
8085,1.29E-06,1.58E-06,4.98E-07,5.87E-07,4.33E-07,5.87E-07
8092.5,1.40E-06,1.58E-06,6.40E-07,5.86E-07,8.88E-07,5.86E-07
8100,1.10E-06,1.58E-06,4.19E-07,5.85E-07,7.76E-07,5.85E-07
8107.5,1.00E-06,1.58E-06,5.41E-07,5.85E-07,6.64E-07,5.85E-07
8115,1.30E-06,1.57E-06,6.23E-07,5.84E-07,7.79E-07,5.84E-07
8122.5,1.71E-06,1.57E-06,5.02E-07,5.84E-07,5.52E-07,5.84E-07
8130,1.41E-06,1.57E-06,5.85E-07,5.83E-07,2.09E-07,5.83E-07
8137.5,2.02E-06,1.57E-06,4.23E-07,5.83E-07,8.98E-07,5.83E-07
8145,1.31E-06,1.57E-06,4.85E-07,5.82E-07,9.00E-07,5.82E-07
8152.5,2.03E-06,1.56E-06,5.88E-07,5.82E-07,1.25E-06,5.82E-07
8160,1.62E-06,1.56E-06,6.30E-07,5.81E-07,5.57E-07,5.81E-07
8167.5,1.32E-06,1.56E-06,5.70E-07,5.80E-07,1.02E-06,5.80E-07
8175,1.53E-06,1.56E-06,5.91E-07,5.80E-07,1.02E-06,5.80E-07
8182.5,1.02E-06,1.56E-06,4.69E-07,5.79E-07,6.76E-07,5.79E-07
8190,1.12E-06,1.55E-06,7.18E-07,5.79E-07,4.45E-07,5.79E-07
8197.5,1.33E-06,1.55E-06,3.46E-07,5.78E-07,6.78E-07,5.78E-07
8205,1.33E-06,1.55E-06,5.13E-07,5.78E-07,6.80E-07,5.78E-07
8212.5,1.64E-06,1.55E-06,4.10E-07,5.77E-07,7.98E-07,5.77E-07
8220,1.44E-06,1.55E-06,4.52E-07,5.77E-07,6.82E-07,5.77E-07
8227.5,8.23E-07,1.54E-06,4.95E-07,5.76E-07,6.83E-07,5.76E-07
8235,1.76E-06,1.54E-06,3.91E-07,5.75E-07,9.70E-08,5.75E-07
8242.5,1.34E-06,1.54E-06,2.66E-07,5.75E-07,8.04E-07,5.75E-07
8250,1.35E-06,1.54E-06,6.23E-07,5.74E-07,6.87E-07,5.74E-07
8257.5,8.29E-07,1.54E-06,5.82E-07,5.74E-07,8.06E-07,5.74E-07
8265,1.87E-06,1.53E-06,4.78E-07,5.73E-07,8.08E-07,5.73E-07
8272.5,1.04E-06,1.53E-06,3.95E-07,5.73E-07,8.09E-07,5.73E-07
8280,1.15E-06,1.53E-06,6.07E-07,5.72E-07,8.11E-07,5.72E-07
8287.5,1.78E-06,1.53E-06,4.60E-07,5.72E-07,6.93E-07,5.72E-07
8295,1.68E-06,1.53E-06,5.24E-07,5.71E-07,1.17E-06,5.71E-07
8302.5,1.47E-06,1.52E-06,3.76E-07,5.70E-07,2.18E-07,5.70E-07
8310,1.37E-06,1.52E-06,4.83E-07,5.70E-07,2.18E-07,5.70E-07
8317.5,1.37E-06,1.52E-06,6.55E-07,5.69E-07,2.19E-07,5.69E-07
8325,1.69E-06,1.52E-06,6.56E-07,5.69E-07,9.92E-08,5.69E-07
8332.5,2.01E-06,1.52E-06,4.43E-07,5.68E-07,8.21E-07,5.68E-07
8340,1.70E-06,1.51E-06,5.94E-07,5.68E-07,9.43E-07,5.68E-07
8347.5,1.59E-06,1.51E-06,6.17E-07,5.67E-07,4.62E-07,5.67E-07
8355,1.70E-06,1.51E-06,5.53E-07,5.67E-07,7.05E-07,5.67E-07
8362.5,6.36E-07,1.51E-06,5.11E-07,5.66E-07,4.64E-07,5.66E-07
8370,1.81E-06,1.51E-06,3.18E-07,5.65E-07,4.64E-07,5.65E-07
8377.5,1.60E-06,1.50E-06,6.43E-07,5.65E-07,7.08E-07,5.65E-07
8385,1.18E-06,1.50E-06,6.65E-07,5.64E-07,5.88E-07,5.64E-07
8392.5,1.18E-06,1.50E-06,4.28E-07,5.64E-07,2.23E-07,5.64E-07
8400,1.07E-06,1.50E-06,3.85E-07,5.63E-07,9.57E-07,5.63E-07
8407.5,1.08E-06,1.50E-06,3.86E-07,5.63E-07,3.46E-07,5.63E-07
8415,1.19E-06,1.49E-06,5.17E-07,5.62E-07,2.24E-07,5.62E-07
8422.5,1.62E-06,1.49E-06,4.97E-07,5.62E-07,1.02E-07,5.62E-07
8430,1.19E-06,1.49E-06,8.04E-07,5.61E-07,2.25E-07,5.61E-07
8437.5,4.30E-07,1.49E-06,5.20E-07,5.61E-07,2.25E-07,5.61E-07
8445,1.19E-06,1.49E-06,6.31E-07,5.60E-07,2.26E-07,5.60E-07
8452.5,2.18E-06,1.48E-06,5.22E-07,5.59E-07,3.50E-07,5.59E-07
8460,2.07E-06,1.48E-06,5.67E-07,5.59E-07,7.22E-07,5.59E-07
8467.5,1.53E-06,1.48E-06,3.03E-07,5.58E-07,1.03E-07,5.58E-07
8475,1.64E-06,1.48E-06,5.03E-07,5.58E-07,1.03E-07,5.58E-07
8482.5,2.19E-06,1.48E-06,5.70E-07,5.57E-07,3.52E-07,5.57E-07
8490,1.65E-06,1.47E-06,5.93E-07,5.57E-07,3.53E-07,5.57E-07
8497.5,1.54E-06,1.47E-06,4.83E-07,5.56E-07,3.54E-07,5.56E-07
8505,1.43E-06,1.47E-06,5.29E-07,5.56E-07,-2.18E-08,5.56E-07
8512.5,1.99E-06,1.47E-06,6.19E-07,5.55E-07,1.23E-06,5.55E-07
8520,1.10E-06,1.47E-06,5.75E-07,5.55E-07,7.33E-07,5.55E-07
8527.5,8.84E-07,1.46E-06,5.09E-07,5.54E-07,3.56E-07,5.54E-07
8535,1.22E-06,1.46E-06,7.12E-07,5.54E-07,2.30E-07,5.54E-07
8542.5,1.11E-06,1.46E-06,4.66E-07,5.53E-07,6.10E-07,5.53E-07
8550,1.22E-06,1.46E-06,5.12E-07,5.52E-07,7.38E-07,5.52E-07
8557.5,1.23E-06,1.46E-06,5.58E-07,5.52E-07,7.39E-07,5.52E-07
8565,2.12E-06,1.45E-06,6.94E-07,5.51E-07,4.86E-07,5.51E-07
8572.5,1.68E-06,1.45E-06,4.92E-07,5.51E-07,3.60E-07,5.51E-07
8580,1.01E-06,1.45E-06,6.29E-07,5.50E-07,3.60E-07,5.50E-07
8587.5,1.35E-06,1.45E-06,4.02E-07,5.50E-07,7.44E-07,5.50E-07
8595,1.57E-06,1.45E-06,8.13E-07,5.49E-07,8.74E-07,5.49E-07
8602.5,1.58E-06,1.44E-06,5.41E-07,5.49E-07,1.06E-07,5.49E-07
8610,1.13E-06,1.44E-06,5.87E-07,5.48E-07,3.63E-07,5.48E-07
8617.5,1.36E-06,1.44E-06,3.82E-07,5.48E-07,2.35E-07,5.48E-07
8625,1.36E-06,1.44E-06,3.83E-07,5.47E-07,3.64E-07,5.47E-07
8632.5,1.36E-06,1.44E-06,5.68E-07,5.47E-07,1.07E-07,5.47E-07
8640,1.25E-06,1.44E-06,5.68E-07,5.46E-07,3.66E-07,5.46E-07
8647.5,1.14E-06,1.43E-06,6.16E-07,5.46E-07,4.96E-07,5.46E-07
8655,1.25E-06,1.43E-06,6.17E-07,5.45E-07,-2.26E-08,5.45E-07
8662.5,1.49E-06,1.43E-06,5.25E-07,5.45E-07,2.37E-07,5.45E-07
8670,1.72E-06,1.43E-06,4.57E-07,5.44E-07,4.98E-07,5.44E-07
8677.5,1.72E-06,1.43E-06,5.27E-07,5.43E-07,7.60E-07,5.43E-07
8685,1.49E-06,1.42E-06,5.28E-07,5.43E-07,1.15E-06,5.43E-07
8692.5,9.18E-07,1.42E-06,3.89E-07,5.42E-07,3.70E-07,5.42E-07
8700,1.61E-06,1.42E-06,4.36E-07,5.42E-07,-2.28E-08,5.42E-07
8707.5,1.62E-06,1.42E-06,6.01E-07,5.41E-07,3.71E-07,5.41E-07
8715,1.16E-06,1.42E-06,3.21E-07,5.41E-07,6.35E-07,5.41E-07
8722.5,1.85E-06,1.41E-06,6.73E-07,5.40E-07,1.09E-07,5.40E-07
8730,1.16E-06,1.41E-06,3.92E-07,5.40E-07,3.73E-07,5.40E-07
8737.5,1.51E-06,1.41E-06,5.81E-07,5.39E-07,-2.30E-08,5.39E-07
8745,1.75E-06,1.41E-06,6.30E-07,5.39E-07,5.07E-07,5.39E-07
8752.5,5.80E-07,1.41E-06,4.18E-07,5.38E-07,1.10E-07,5.38E-07
8760,1.05E-06,1.41E-06,5.61E-07,5.38E-07,2.43E-07,5.38E-07
8767.5,1.29E-06,1.40E-06,4.43E-07,5.37E-07,2.43E-07,5.37E-07
8775,1.41E-06,1.40E-06,5.39E-07,5.37E-07,7.77E-07,5.37E-07
8782.5,8.20E-07,1.40E-06,5.87E-07,5.36E-07,9.12E-07,5.36E-07
8790,1.41E-06,1.40E-06,5.65E-07,5.36E-07,6.46E-07,5.36E-07
8797.5,1.77E-06,1.40E-06,3.03E-07,5.35E-07,1.11E-07,5.35E-07
8805,1.53E-06,1.39E-06,4.71E-07,5.35E-07,7.83E-07,5.35E-07
8812.5,1.30E-06,1.39E-06,6.15E-07,5.34E-07,3.80E-07,5.34E-07
8820,1.54E-06,1.39E-06,3.77E-07,5.33E-07,6.50E-07,5.33E-07
8827.5,1.07E-06,1.39E-06,4.73E-07,5.33E-07,3.82E-07,5.33E-07
8835,1.90E-06,1.39E-06,6.43E-07,5.32E-07,6.53E-07,5.32E-07
8842.5,1.31E-06,1.39E-06,4.03E-07,5.32E-07,1.12E-07,5.32E-07
8850,1.31E-06,1.38E-06,4.27E-07,5.31E-07,7.91E-07,5.31E-07
8857.5,1.19E-06,1.38E-06,5.73E-07,5.31E-07,7.92E-07,5.31E-07
8865,2.04E-06,1.38E-06,4.77E-07,5.30E-07,3.85E-07,5.30E-07
8872.5,1.32E-06,1.38E-06,5.02E-07,5.30E-07,6.58E-07,5.30E-07
8880,1.20E-06,1.38E-06,5.03E-07,5.29E-07,9.33E-07,5.29E-07
8887.5,1.20E-06,1.37E-06,5.28E-07,5.29E-07,3.87E-07,5.29E-07
8895,1.32E-06,1.37E-06,4.32E-07,5.28E-07,7.99E-07,5.28E-07
8902.5,1.57E-06,1.37E-06,6.04E-07,5.28E-07,3.88E-07,5.28E-07
8910,1.81E-06,1.37E-06,9.47E-07,5.27E-07,1.14E-07,5.27E-07
8917.5,2.06E-06,1.37E-06,7.04E-07,5.27E-07,5.27E-07,5.27E-07
8925,1.33E-06,1.37E-06,5.08E-07,5.26E-07,2.52E-07,5.26E-07
8932.5,1.46E-06,1.36E-06,4.85E-07,5.26E-07,1.08E-06,5.26E-07
8940,8.49E-07,1.36E-06,4.36E-07,5.25E-07,3.91E-07,5.25E-07
8947.5,1.71E-06,1.36E-06,4.86E-07,5.25E-07,2.53E-07,5.25E-07
8955,1.71E-06,1.36E-06,4.13E-07,5.24E-07,3.93E-07,5.24E-07
8962.5,1.34E-06,1.36E-06,4.38E-07,5.24E-07,-2.42E-08,5.24E-07
8970,1.84E-06,1.36E-06,4.14E-07,5.23E-07,6.73E-07,5.23E-07
8977.5,7.33E-07,1.35E-06,4.15E-07,5.23E-07,2.55E-07,5.23E-07
8985,1.47E-06,1.35E-06,5.15E-07,5.22E-07,3.95E-07,5.22E-07
8992.5,7.36E-07,1.35E-06,5.16E-07,5.22E-07,2.56E-07,5.22E-07
9000,3.66E-07,1.35E-06,6.17E-07,5.21E-07,5.37E-07,5.21E-07
9007.5,1.23E-06,1.35E-06,5.43E-07,5.21E-07,5.38E-07,5.21E-07
9015,9.88E-07,1.34E-06,4.94E-07,5.20E-07,1.16E-07,5.20E-07
9022.5,1.24E-06,1.34E-06,4.44E-07,5.20E-07,6.81E-07,5.20E-07
9030,1.61E-06,1.34E-06,6.71E-07,5.19E-07,5.41E-07,5.19E-07
9037.5,9.93E-07,1.34E-06,6.22E-07,5.19E-07,4.00E-07,5.19E-07
9045,1.49E-06,1.34E-06,4.72E-07,5.18E-07,5.42E-07,5.18E-07
9052.5,1.50E-06,1.34E-06,4.47E-07,5.18E-07,4.01E-07,5.18E-07
9060,1.75E-06,1.33E-06,6.25E-07,5.17E-07,5.44E-07,5.17E-07
9067.5,1.50E-06,1.33E-06,4.74E-07,5.17E-07,5.45E-07,5.17E-07
9075,8.75E-07,1.33E-06,4.49E-07,5.16E-07,4.03E-07,5.16E-07
9082.5,1.51E-06,1.33E-06,6.54E-07,5.16E-07,6.90E-07,5.16E-07
9090,1.00E-06,1.33E-06,3.49E-07,5.15E-07,8.34E-07,5.15E-07
9097.5,1.39E-06,1.33E-06,5.28E-07,5.15E-07,9.79E-07,5.15E-07
9105,1.01E-06,1.32E-06,4.78E-07,5.14E-07,4.06E-07,5.14E-07
9112.5,1.77E-06,1.32E-06,3.25E-07,5.14E-07,5.50E-07,5.14E-07
9120,1.52E-06,1.32E-06,8.64E-07,5.13E-07,8.40E-07,5.13E-07
9127.5,1.01E-06,1.32E-06,6.34E-07,5.13E-07,2.64E-07,5.13E-07
9135,1.01E-06,1.32E-06,5.58E-07,5.12E-07,4.09E-07,5.12E-07
