Z,LR20,LR40,LR60,LR80,LR100,LR120
60,0,0,0,0,0,0
67.5,-7.99E-06,-7.99E-06,-7.99E-06,-7.99E-06,-7.99E-06,-7.99E-06
75,-7.98E-06,-7.98E-06,-7.98E-06,-7.98E-06,-7.98E-06,-7.98E-06
82.5,-7.98E-06,-7.98E-06,-7.98E-06,-7.98E-06,-7.98E-06,-7.98E-06
90,-7.97E-06,-7.97E-06,-7.97E-06,-7.97E-06,-7.97E-06,-7.97E-06
97.5,-7.97E-06,-7.97E-06,-7.97E-06,-7.97E-06,-7.97E-06,-7.97E-06
105,-7.96E-06,-7.96E-06,-7.96E-06,-7.96E-06,-7.96E-06,-7.96E-06
112.5,-7.96E-06,-7.96E-06,-7.96E-06,-7.96E-06,-7.96E-06,-7.96E-06
120,-7.95E-06,-7.95E-06,-7.95E-06,-7.95E-06,-7.95E-06,-7.95E-06
127.5,-7.92E-06,-7.92E-06,-7.92E-06,-7.92E-06,-7.92E-06,-7.92E-06
135,-7.88E-06,-7.88E-06,-7.88E-06,-7.88E-06,-7.88E-06,-7.88E-06
142.5,-7.82E-06,-7.83E-06,-7.83E-06,-7.83E-06,-7.83E-06,-7.83E-06
150,-7.73E-06,-7.75E-06,-7.76E-06,-7.76E-06,-7.76E-06,-7.75E-06
157.5,-7.63E-06,-7.66E-06,-7.66E-06,-7.67E-06,-7.66E-06,-7.66E-06
165,-7.49E-06,-7.53E-06,-7.55E-06,-7.55E-06,-7.55E-06,-7.54E-06
172.5,-7.32E-06,-7.38E-06,-7.41E-06,-7.41E-06,-7.40E-06,-7.39E-06
180,-7.13E-06,-7.21E-06,-7.24E-06,-7.24E-06,-7.24E-06,-7.23E-06
187.5,-6.90E-06,-7.00E-06,-7.04E-06,-7.05E-06,-7.05E-06,-7.04E-06
195,-6.63E-06,-6.77E-06,-6.82E-06,-6.84E-06,-6.84E-06,-6.82E-06
202.5,-6.36E-06,-6.54E-06,-6.60E-06,-6.62E-06,-6.62E-06,-6.61E-06
210,-6.08E-06,-6.28E-06,-6.36E-06,-6.39E-06,-6.39E-06,-6.38E-06
217.5,-5.78E-06,-6.02E-06,-6.11E-06,-6.15E-06,-6.16E-06,-6.15E-06
225,-5.47E-06,-5.75E-06,-5.86E-06,-5.91E-06,-5.92E-06,-5.91E-06
232.5,-5.16E-06,-5.48E-06,-5.61E-06,-5.66E-06,-5.68E-06,-5.67E-06
240,-4.85E-06,-5.21E-06,-5.36E-06,-5.42E-06,-5.45E-06,-5.44E-06
247.5,-4.54E-06,-4.94E-06,-5.11E-06,-5.19E-06,-5.22E-06,-5.22E-06
255,-4.23E-06,-4.68E-06,-4.87E-06,-4.96E-06,-4.99E-06,-5.00E-06
262.5,-3.94E-06,-4.42E-06,-4.63E-06,-4.73E-06,-4.77E-06,-4.78E-06
270,-3.64E-06,-4.17E-06,-4.40E-06,-4.51E-06,-4.56E-06,-4.58E-06
277.5,-3.35E-06,-3.93E-06,-4.18E-06,-4.30E-06,-4.35E-06,-4.38E-06
