Z,LR20,LR40,LR60,LR80,LR100,LR120
562.5,5.63E-06,3.97E-06,3.08E-06,2.53E-06,2.16E-06,1.89E-06
570,5.51E-06,3.87E-06,3.00E-06,2.46E-06,2.09E-06,1.82E-06
577.5,5.37E-06,3.76E-06,2.90E-06,2.37E-06,2.00E-06,1.74E-06
585,5.28E-06,3.69E-06,2.84E-06,2.31E-06,1.95E-06,1.69E-06
592.5,5.18E-06,3.61E-06,2.77E-06,2.25E-06,1.89E-06,1.63E-06
600,5.11E-06,3.56E-06,2.72E-06,2.21E-06,1.85E-06,1.60E-06
607.5,5.05E-06,3.51E-06,2.68E-06,2.17E-06,1.82E-06,1.57E-06
615,5.00E-06,3.48E-06,2.66E-06,2.15E-06,1.80E-06,1.55E-06
622.5,4.97E-06,3.45E-06,2.64E-06,2.13E-06,1.79E-06,1.54E-06
630,4.92E-06,3.42E-06,2.61E-06,2.11E-06,1.76E-06,1.52E-06
637.5,4.89E-06,3.40E-06,2.60E-06,2.10E-06,1.76E-06,1.51E-06
645,4.86E-06,3.38E-06,2.58E-06,2.09E-06,1.75E-06,1.50E-06
652.5,4.85E-06,3.38E-06,2.58E-06,2.09E-06,1.75E-06,1.51E-06
660,4.81E-06,3.35E-06,2.56E-06,2.07E-06,1.74E-06,1.50E-06
667.5,4.81E-06,3.36E-06,2.57E-06,2.09E-06,1.75E-06,1.51E-06
675,4.80E-06,3.35E-06,2.57E-06,2.09E-06,1.75E-06,1.51E-06
682.5,4.81E-06,3.37E-06,2.59E-06,2.10E-06,1.77E-06,1.53E-06
690,4.77E-06,3.34E-06,2.57E-06,2.09E-06,1.76E-06,1.52E-06
697.5,4.75E-06,3.34E-06,2.57E-06,2.09E-06,1.76E-06,1.52E-06
705,4.74E-06,3.33E-06,2.57E-06,2.09E-06,1.77E-06,1.53E-06
712.5,4.72E-06,3.32E-06,2.56E-06,2.09E-06,1.77E-06,1.53E-06
720,4.69E-06,3.30E-06,2.54E-06,2.07E-06,1.75E-06,1.52E-06
727.5,4.64E-06,3.27E-06,2.52E-06,2.05E-06,1.73E-06,1.50E-06
735,4.61E-06,3.25E-06,2.50E-06,2.04E-06,1.72E-06,1.49E-06
742.5,4.58E-06,3.22E-06,2.48E-06,2.02E-06,1.71E-06,1.48E-06
750,4.53E-06,3.19E-06,2.46E-06,2.00E-06,1.69E-06,1.46E-06
757.5,4.50E-06,3.16E-06,2.43E-06,1.98E-06,1.67E-06,1.45E-06
765,4.45E-06,3.13E-06,2.41E-06,1.96E-06,1.65E-06,1.43E-06
772.5,4.42E-06,3.10E-06,2.39E-06,1.94E-06,1.64E-06,1.42E-06
780,4.39E-06,3.09E-06,2.37E-06,1.93E-06,1.63E-06,1.41E-06
787.5,4.34E-06,3.05E-06,2.34E-06,1.90E-06,1.60E-06,1.38E-06
795,4.32E-06,3.04E-06,2.33E-06,1.89E-06,1.60E-06,1.38E-06
802.5,4.29E-06,3.02E-06,2.32E-06,1.88E-06,1.59E-06,1.37E-06
810,4.26E-06,3.00E-06,2.30E-06,1.87E-06,1.58E-06,1.36E-06
817.5,4.22E-06,2.97E-06,2.28E-06,1.85E-06,1.56E-06,1.34E-06
825,4.18E-06,2.94E-06,2.25E-06,1.83E-06,1.54E-06,1.33E-06
832.5,4.13E-06,2.89E-06,2.22E-06,1.79E-06,1.51E-06,1.30E-06
840,4.10E-06,2.87E-06,2.20E-06,1.78E-06,1.49E-06,1.29E-06
847.5,4.03E-06,2.82E-06,2.16E-06,1.74E-06,1.46E-06,1.25E-06
855,3.99E-06,2.79E-06,2.13E-06,1.71E-06,1.43E-06,1.23E-06
862.5,3.95E-06,2.76E-06,2.11E-06,1.70E-06,1.42E-06,1.22E-06
870,3.90E-06,2.72E-06,2.06E-06,1.66E-06,1.38E-06,1.18E-06
877.5,3.86E-06,2.69E-06,2.04E-06,1.64E-06,1.36E-06,1.17E-06
885,3.82E-06,2.66E-06,2.02E-06,1.62E-06,1.34E-06,1.15E-06
892.5,3.78E-06,2.63E-06,1.99E-06,1.59E-06,1.32E-06,1.12E-06
900,3.76E-06,2.61E-06,1.98E-06,1.58E-06,1.31E-06,1.12E-06
907.5,3.73E-06,2.60E-06,1.97E-06,1.57E-06,1.30E-06,1.11E-06
915,3.73E-06,2.60E-06,1.97E-06,1.58E-06,1.31E-06,1.12E-06
922.5,3.73E-06,2.61E-06,1.98E-06,1.59E-06,1.32E-06,1.13E-06
930,3.70E-06,2.58E-06,1.96E-06,1.57E-06,1.30E-06,1.11E-06
937.5,3.65E-06,2.54E-06,1.93E-06,1.54E-06,1.28E-06,1.09E-06
945,3.62E-06,2.52E-06,1.91E-06,1.52E-06,1.26E-06,1.07E-06
952.5,3.59E-06,2.50E-06,1.89E-06,1.51E-06,1.25E-06,1.06E-06
960,3.57E-06,2.48E-06,1.88E-06,1.50E-06,1.24E-06,1.05E-06
967.5,3.53E-06,2.46E-06,1.85E-06,1.47E-06,1.22E-06,1.03E-06
975,3.50E-06,2.43E-06,1.83E-06,1.45E-06,1.20E-06,1.01E-06
982.5,3.46E-06,2.40E-06,1.81E-06,1.43E-06,1.18E-06,9.93E-07
990,3.41E-06,2.36E-06,1.77E-06,1.40E-06,1.15E-06,9.64E-07
997.5,3.38E-06,2.33E-06,1.75E-06,1.38E-06,1.12E-06,9.43E-07
1005,3.35E-06,2.32E-06,1.73E-06,1.37E-06,1.11E-06,9.34E-07
